Run_index,total_selected_OPS
0,20
1,25
2,25
3,24
4,24
5,25
6,18
7,25
8,22
9,25
10,20
11,24
12,13
13,22
14,19
15,10
16,24
17,24
18,21
19,20
20,18
21,19
22,20
23,22
24,24
25,27
26,19
27,19
28,8
29,18
30,19
31,17
32,25
33,17
34,20
35,24
36,19
37,24
38,26
39,20
40,13
41,9
42,21
43,19
44,24
45,8
46,25
47,18
48,25
49,25
50,19
51,24
52,19
53,19
54,19
55,24
56,7
57,25
58,21
59,18
