selected_indices_per_step,actual_rewards_per_step
"[10, 37, 2, 59, 15, 14, 11, 12, 16, 8, 50, 57, 7, 9, 4, 49, 46, 58, 31, 18, 6, 44, 55, 13, 0, 53, 41, 45, 17, 25, 48, 51, 43, 34, 22, 33, 29, 42, 54, 3, 5, 23, 38, 1, 47, 32, 19, 30, 36, 35, 39, 56, 40, 24, 28, 20, 52, 26, 21, 27]","[66, 14, 40, 0, 42, 40, 58, 34, 60, 57, 24, 0, 54, 70, 24, 54, 0, 0, 40, 38, 63, 34, 2, 33, 41, 40, 12, 1, 33, 37, 0, 21, 28, 9, 32, 9, 22, 43, 19, 35, 41, 30, 21, 62, 3, 37, 34, 29, 18, 18, 24, 5, 22, 34, 25, 30, 22, 27, 35, 30]"
"[11, 29, 10, 15, 8, 53, 0, 59, 14, 16, 50, 57, 9, 7, 58, 4, 6, 40, 49, 31, 46, 43, 18, 13, 12, 2, 45, 25, 41, 48, 51, 55, 34, 22, 44, 33, 38, 42, 54, 5, 17, 3, 36, 23, 1, 47, 19, 32, 35, 56, 39, 24, 30, 52, 28, 20, 37, 26, 21, 27]","[58, 22, 66, 42, 57, 40, 41, 0, 40, 60, 24, 0, 70, 54, 0, 24, 63, 22, 54, 40, 0, 28, 38, 33, 34, 40, 1, 37, 12, 0, 21, 2, 9, 32, 34, 9, 21, 43, 19, 41, 33, 35, 18, 30, 62, 3, 34, 37, 18, 5, 24, 34, 29, 22, 25, 30, 14, 27, 35, 30]"
"[12, 31, 32, 53, 38, 33, 52, 8, 4, 7, 44, 14, 50, 10, 11, 58, 49, 0, 17, 15, 16, 9, 6, 46, 59, 57, 40, 48, 13, 2, 55, 25, 51, 45, 43, 18, 41, 34, 42, 54, 21, 3, 29, 23, 5, 36, 19, 47, 28, 1, 39, 35, 56, 24, 20, 22, 30, 26, 37, 27]","[34, 40, 37, 40, 21, 9, 22, 57, 24, 54, 34, 40, 24, 66, 58, 0, 54, 41, 33, 42, 60, 70, 63, 0, 0, 0, 22, 0, 33, 40, 2, 37, 21, 1, 28, 38, 12, 9, 43, 19, 35, 35, 22, 30, 41, 18, 34, 3, 25, 62, 24, 18, 5, 34, 30, 32, 29, 27, 14, 30]"
"[13, 17, 0, 3, 2, 9, 50, 16, 42, 11, 6, 59, 57, 14, 58, 4, 41, 10, 15, 8, 7, 55, 45, 43, 54, 49, 46, 12, 48, 53, 38, 51, 25, 33, 34, 44, 31, 18, 23, 5, 40, 21, 29, 36, 47, 1, 32, 19, 28, 35, 56, 39, 24, 52, 20, 30, 22, 37, 26, 27]","[33, 33, 41, 35, 40, 70, 24, 60, 43, 58, 63, 0, 0, 40, 0, 24, 12, 66, 42, 57, 54, 2, 1, 28, 19, 54, 0, 34, 0, 40, 21, 21, 37, 9, 9, 34, 40, 38, 30, 41, 22, 35, 22, 18, 3, 62, 37, 34, 25, 18, 5, 24, 34, 22, 30, 29, 32, 14, 27, 30]"
"[14, 6, 49, 1, 4, 2, 48, 38, 18, 12, 50, 5, 29, 46, 13, 9, 59, 58, 10, 8, 16, 15, 11, 57, 7, 44, 0, 51, 25, 45, 3, 42, 55, 54, 53, 41, 33, 34, 17, 43, 32, 19, 23, 36, 31, 47, 56, 28, 39, 35, 21, 40, 24, 20, 52, 30, 26, 37, 27, 22]","[40, 63, 54, 62, 24, 40, 0, 21, 38, 34, 24, 41, 22, 0, 33, 70, 0, 0, 66, 57, 60, 42, 58, 0, 54, 34, 41, 21, 37, 1, 35, 43, 2, 19, 40, 12, 9, 9, 33, 28, 37, 34, 30, 18, 40, 3, 5, 25, 24, 18, 35, 22, 34, 30, 22, 29, 27, 14, 30, 32]"
"[15, 13, 4, 55, 29, 3, 59, 12, 58, 11, 6, 50, 16, 14, 8, 10, 49, 2, 9, 7, 18, 44, 57, 46, 53, 40, 45, 41, 48, 51, 0, 25, 42, 43, 33, 54, 38, 31, 17, 36, 34, 5, 21, 23, 1, 47, 19, 32, 28, 35, 56, 39, 24, 20, 30, 52, 37, 26, 22, 27]","[42, 33, 24, 2, 22, 35, 0, 34, 0, 58, 63, 24, 60, 40, 57, 66, 54, 40, 70, 54, 38, 34, 0, 0, 40, 22, 1, 12, 0, 21, 41, 37, 43, 28, 9, 19, 21, 40, 33, 18, 9, 41, 35, 30, 62, 3, 34, 37, 25, 18, 5, 24, 34, 30, 29, 22, 14, 27, 32, 30]"
"[16, 24, 9, 3, 59, 50, 11, 57, 6, 15, 14, 58, 8, 41, 47, 0, 7, 10, 49, 46, 31, 44, 4, 17, 12, 53, 45, 51, 13, 29, 2, 25, 42, 55, 54, 33, 37, 43, 36, 48, 5, 34, 18, 23, 28, 1, 32, 38, 56, 22, 30, 35, 39, 19, 40, 52, 20, 26, 21, 27]","[60, 34, 70, 35, 0, 24, 58, 0, 63, 42, 40, 0, 57, 12, 3, 41, 54, 66, 54, 0, 40, 34, 24, 33, 34, 40, 1, 21, 33, 22, 40, 37, 43, 2, 19, 9, 14, 28, 18, 0, 41, 9, 38, 30, 25, 62, 37, 21, 5, 32, 29, 18, 24, 34, 22, 22, 30, 27, 35, 30]"
"[17, 34, 18, 20, 31, 3, 13, 12, 25, 37, 38, 50, 8, 10, 11, 15, 16, 57, 9, 58, 14, 7, 59, 4, 6, 43, 0, 55, 40, 49, 46, 2, 45, 53, 51, 41, 44, 33, 42, 54, 21, 47, 29, 5, 56, 30, 35, 36, 32, 1, 48, 19, 23, 39, 28, 52, 24, 26, 27, 22]","[33, 9, 38, 30, 40, 35, 33, 34, 37, 14, 21, 24, 57, 66, 58, 42, 60, 0, 70, 0, 40, 54, 0, 24, 63, 28, 41, 2, 22, 54, 0, 40, 1, 40, 21, 12, 34, 9, 43, 19, 35, 3, 22, 41, 5, 29, 18, 18, 37, 62, 0, 34, 30, 24, 25, 22, 34, 27, 30, 32]"
"[18, 11, 10, 2, 15, 58, 55, 16, 44, 3, 45, 9, 50, 7, 14, 8, 4, 6, 49, 46, 31, 38, 0, 57, 48, 53, 59, 40, 12, 13, 51, 25, 41, 43, 17, 34, 33, 21, 29, 42, 54, 5, 24, 23, 28, 56, 35, 1, 32, 36, 47, 39, 19, 30, 52, 20, 26, 37, 22, 27]","[38, 58, 66, 40, 42, 0, 2, 60, 34, 35, 1, 70, 24, 54, 40, 57, 24, 63, 54, 0, 40, 21, 41, 0, 0, 40, 0, 22, 34, 33, 21, 37, 12, 28, 33, 9, 9, 35, 22, 43, 19, 41, 34, 30, 25, 5, 18, 62, 37, 18, 3, 24, 34, 29, 22, 30, 27, 14, 32, 30]"
"[19, 44, 0, 3, 49, 17, 34, 25, 29, 55, 58, 10, 11, 8, 9, 16, 59, 50, 15, 14, 57, 7, 46, 4, 6, 12, 41, 31, 2, 53, 45, 40, 51, 13, 43, 33, 48, 5, 38, 42, 54, 18, 23, 36, 1, 47, 32, 28, 56, 35, 39, 24, 52, 22, 20, 30, 37, 26, 21, 27]","[34, 34, 41, 35, 54, 33, 9, 37, 22, 2, 0, 66, 58, 57, 70, 60, 0, 24, 42, 40, 0, 54, 0, 24, 63, 34, 12, 40, 40, 40, 1, 22, 21, 33, 28, 9, 0, 41, 21, 43, 19, 38, 30, 18, 62, 3, 37, 25, 5, 18, 24, 34, 22, 32, 30, 29, 14, 27, 35, 30]"
