Run_index,total_selected_OPS
0,39
1,50
2,22
3,50
4,50
5,50
6,17
7,50
8,37
9,50
10,51
11,50
12,52
13,37
14,50
15,50
16,38
17,38
18,38
19,51
20,49
21,38
22,37
23,50
24,51
25,37
26,51
27,49
28,51
29,51
30,50
31,41
32,50
33,28
34,44
35,38
36,44
37,27
38,51
39,49
40,50
41,50
42,52
43,51
44,31
45,44
46,56
47,51
48,48
49,49
50,50
51,50
52,44
53,49
54,51
55,37
56,44
57,49
58,44
59,49
