Name,ID,MF_PC_0,MF_PC_1,MF_PC_2,MF_PC_3,MF_PC_4,MF_PC_5,MF_PC_6,MF_PC_7,MF_PC_8,MF_PC_9,MF_PC_10,MF_PC_11,MF_PC_12,MF_PC_13,Reaction_CO_1.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_OCH2F,Reaction_SCF3,Reaction_CH2F,Reaction_Cy,Reaction_CH2CF3,Reaction_CF3,Reaction_P,Reaction_Si,Yield
PTZN,OPS37,0.159773866,-2.991512369,-1.894949193,0.054102402,0.132612268,-0.003196577,0.562454849,0.087642573,0.009826575,-0.857925176,-0.675286818,-0.181469246,0.863606926,0.396042336,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97
biphenylPTZN,OPS38,-0.126761535,-3.708500132,-1.088068587,-0.322220343,0.626141814,0.202215172,1.271479815,-1.385401889,-0.130636924,0.191968827,-0.576157765,-0.485574582,-0.030378177,0.886004975,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85
CF3PTZN,OPS39,0.067978898,-3.707861473,-1.479635664,0.983722166,1.117852327,-0.183819643,1.286764161,-1.149694771,0.481544937,0.042873127,-0.757167869,-0.486774592,-0.862970798,0.508541595,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90
2DPAN,OPS40,-1.039399716,0.294547022,-0.598481916,0.215392822,-0.985130166,1.513015111,-0.264585472,0.657738334,0.181729427,0.97726703,-0.431673958,-0.325786583,0.606474079,-0.435326358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87
2tBuDPAN,OPS41,-1.049265174,0.701055125,-0.122446673,2.767784734,0.005399272,1.189307439,-0.195605449,0.604657183,0.391723085,0.349243238,-0.762498541,-0.532388901,0.220574825,-0.669672988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80
2MeDPAN,OPS42,-1.060442292,0.725121809,-0.772362973,1.067880377,-1.317635228,1.248228517,-0.667942574,-0.028375469,-0.680321353,-0.259108255,-0.170422733,-1.34135258,0.866815919,-0.337310116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70
2DPAA,OPS43,-0.997397163,0.592111983,-0.94412631,-0.192864312,-0.434272702,1.390564255,-0.284368764,0.429867955,-0.182791648,0.341468166,-0.162057709,0.527563387,-0.589238111,0.567526514,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20
2tBuDPAA,OPS44,-1.007262621,0.998620086,-0.468091067,2.3595276,0.556256736,1.066856583,-0.215388741,0.376786804,0.027202011,-0.286555626,-0.492882292,0.320961068,-0.975137365,0.333179884,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2MeDPAA,OPS45,-1.018439739,1.022686769,-1.118007367,0.659623243,-0.766777764,1.125777661,-0.687725866,-0.256245848,-1.044842428,-0.894907118,0.099193515,-0.488002611,-0.328896271,0.665542756,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
2OMeDPAA,OPS46,-1.01068223,0.891273136,-0.796026942,0.495496639,-0.462803062,1.314433444,-0.689741212,-0.133909706,-1.632382071,-1.031503784,-0.610847534,1.921239585,-0.777047127,0.482279061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40
