Run,Round
0,18
1,1
2,4
3,15
4,27
5,36
6,20
7,20
8,18
9,19
10,24
11,7
12,11
13,4
14,17
15,11
16,24
17,15
18,24
19,14
20,11
21,5
22,5
23,21
24,17
25,27
26,19
27,4
28,18
29,14
30,4
31,19
32,19
33,9
34,4
35,31
36,4
37,20
38,18
39,5
40,23
41,17
42,4
43,4
44,12
45,20
46,37
47,4
48,21
49,15
50,26
51,12
52,26
53,4
54,20
55,4
56,15
57,5
58,27
59,4
