Run,Round
0,2
1,1
2,2
3,2
4,3
5,2
6,4
7,3
8,4
9,4
10,3
11,1
12,2
13,2
14,3
15,4
16,3
17,2
18,2
19,2
20,5
21,2
22,2
23,4
24,2
25,3
26,4
27,2
28,4
29,4
30,2
31,2
32,2
33,2
34,2
35,6
36,4
37,3
38,5
39,2
40,2
41,4
42,3
43,2
44,4
45,2
46,3
47,2
48,2
49,2
50,2
51,4
52,4
53,2
54,2
55,2
56,4
57,2
58,4
59,4
