,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
0,Reaction_CH2CF3,Reaction_CF3,Reaction_OCH2F,0.919352595238538,0.5851123142652692,0.9721785026859618,0.7864500563890965,0.8084065355751173,0.5355503151896761
1,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9395294130402163,0.7007260945000222,0.9823401167668654,0.8775213556594043,0.8375558049033583,0.6985438893778384
2,Reaction_CH2CF3,Reaction_CF3,Reaction_SCF3,0.965732545588971,0.6466396900115743,0.9899661938060937,0.809686068589439,0.8114155558724024,0.6412956499816587
3,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9698143498442469,0.615580568199497,0.9914191705567547,0.7878281408729098,0.8628490317874411,0.60540470412746
4,Reaction_CH2CF3,Reaction_CF3,Reaction_CH2F,0.9168778985681917,0.4758767782091904,0.9735948909232843,0.7489819574404966,0.8264088160392489,0.5122655188770815
5,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.941729967860682,0.662967798826603,0.9835162871903639,0.8844975689915184,0.8291081515456774,0.6286895004400546
6,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9579287606968775,0.5742253971429203,0.9879413456170814,0.7805776942901784,0.8456243645689199,0.4889585460651189
7,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9733186750304895,0.6329359674153034,0.9915119086764952,0.8006606621416564,0.9021861440918624,0.5364251466742551
8,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9523249582379111,0.7807805937562332,0.9874319169517123,0.8969034022370999,0.8037605210028465,0.7369883232397142
9,Reaction_CH2CF3,Reaction_CF3,Reaction_SCF3,0.966208572841117,0.6298905707788157,0.9912731563756085,0.8297317106559653,0.8971248142655647,0.6145681824149491
10,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9576008428016096,0.5725660867445906,0.9869574552337701,0.8084734369545592,0.8188394740675292,0.6720625963782512
11,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9413581552911777,0.7758807888982017,0.9815768507963025,0.9157032651457102,0.8376230808885929,0.6952720030563342
12,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,0.9269639727192481,0.5422706719605574,0.9794042142839003,0.7995047616466469,0.8963157433714164,0.511238702832901
13,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9463132606410722,0.7161120379650416,0.9842147031497398,0.9028108615165609,0.8196248302033303,0.6674503681001985
14,Reaction_CF3,Reaction_OCH2F,Reaction_CH2CF3,0.9304215143111696,0.5119899524710276,0.9756609747032873,0.7540217768340993,0.8316186577660803,0.4310686418949271
15,Reaction_CH2CF3,Reaction_CF3,Reaction_CS,0.9584216886345907,0.6147554983500159,0.985642488172404,0.7958545714310339,0.9030119422127016,0.5308933559271571
16,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,0.9163771587465538,0.47894818494186275,0.9789313107102986,0.7427183890816115,0.8462366157760879,0.5076085596145626
17,Reaction_CH2CF3,Reaction_CF3,Reaction_CH2F,0.9517145002734815,0.5736230578467323,0.988376731276355,0.8181204983789436,0.8873887833037206,0.5393648575270169
18,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9436470338338236,0.7450057782349602,0.9867707288610846,0.8729380743126982,0.854187263637207,0.5993358798229318
19,Reaction_CH2CF3,Reaction_CF3,Reaction_SCF3,0.9481800058251832,0.7594155432905773,0.9888512811717891,0.8882235203468745,0.812228810010102,0.6997765178783852
20,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,0.9349136840904966,0.4957778614426762,0.9787638576500922,0.7766998985921384,0.7781414629056201,0.522552082536128
21,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,0.9388736767146638,0.5291365805733019,0.984791215293954,0.7602721519017942,0.8721519863080605,0.5284067223228139
22,Reaction_CH2CF3,Reaction_CF3,Reaction_OCH2F,0.9341161651243427,0.27709504895452364,0.9774916632946996,0.6151130457920835,0.7781414629056201,0.44677003220049033
23,Reaction_CH2CF3,Reaction_CF3,Reaction_OCH2F,0.9426392754661783,0.41894951142167913,0.9791273025649416,0.6497668729654738,0.8237013676328269,0.43127761410076104
24,Reaction_CH2CF3,Reaction_CF3,Reaction_CH2F,0.9407434809055766,0.5745661659219006,0.9863676209315069,0.8158090752693052,0.8760427238509809,0.5900438506783902
25,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9549673252626881,0.6088107679943046,0.9863075173083321,0.7902760446756643,0.8356682985719016,0.4714661483391972
26,Reaction_CH2CF3,Reaction_CF3,Reaction_OCH2F,0.9019416784888855,0.4016887638948268,0.9600110799369604,0.6349986635967042,0.7433623315633262,0.44317453864188716
27,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.950688767950625,0.6911803777224141,0.984109271679217,0.8534201553692575,0.9127640154537089,0.5005958422005605
28,Reaction_CF3,Reaction_CH2CF3,Reaction_SCF3,0.9726294749911316,0.31047504276758164,0.991948881469642,0.5756022838276104,0.9233182361714668,0.407892908459716
29,Reaction_CH2CF3,Reaction_CF3,Reaction_SCF3,0.959950448406725,0.6640355735272954,0.9869084484219263,0.8231026877233605,0.8389615503546433,0.6319596828535433
30,Reaction_CF3,Reaction_CH2CF3,Reaction_CH2F,0.9366914202154705,0.3505868764515623,0.9871556039322797,0.784492042497255,0.9131238973473188,0.4256101693183335
