,SD1,SD2,SD3,r2_train,r2_test,pr_train,pr_test,kt_train,kt_test
0,Reaction_CF3,Reaction_CH2CF3,Reaction_OCH2F,0.9274516066384181,-0.4368315799044058,0.9672846314528759,0.6448033184285434,0.7258411417615089,0.585919619425071
1,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.8708198985406842,0.6111831067092361,0.958849393238837,0.788950559891279,0.7127158266042594,0.6332028494894703
2,Reaction_CF3,Reaction_CH2CF3,Reaction_OCH2F,0.9151982950947184,-0.12131215233334713,0.9617313346938482,0.6346023680886804,0.8256668289850468,0.5374564321371764
3,Reaction_CF3,Reaction_OCH2F,Reaction_CH2CF3,0.8942756989915153,0.08605359394703671,0.9498940444982605,0.7290856376130815,0.664453129044533,0.5345502570632674
4,Reaction_CF3,Reaction_Cy,Reaction_CH2CF3,0.9197758344012927,-0.06283705932932038,0.9647459157394486,0.6723854318688319,0.7977399125344112,0.3540119130155299
5,Reaction_CH2CF3,Reaction_CF3,Reaction_OCH2F,0.905758992662041,-0.2738747987526282,0.9604520690218322,0.6144362308175313,0.7228708448143579,0.5025888291068388
6,Reaction_CH2CF3,Reaction_OCH2F,Reaction_Cy,0.8706646897258579,0.287269559582396,0.9430176015001792,0.6094389006456146,0.6824155249830193,0.39706514588228864
7,Reaction_CH2CF3,Reaction_CF3,Reaction_OCH2F,0.8739041821827557,0.2697266347197341,0.9440070762443232,0.6499806832390377,0.738842739806284,0.4866628644301213
8,Reaction_Cy,Reaction_CF3,Reaction_CH2CF3,0.9011748503618505,0.6212487271429268,0.960649442633799,0.816297735352996,0.8117993668842,0.5172017044326835
9,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.9550603074314018,0.47675828865773984,0.9818407710381651,0.6908615091474959,0.7911753469119224,0.5418901833652794
10,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9285776776691047,0.595660542706349,0.970381027920419,0.7768216823397941,0.8048066069992554,0.5030519103331145
11,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.8991973176342157,0.5584549208594155,0.9600721465625173,0.7989448586779673,0.7748759415635922,0.5304519868421907
12,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.9299373682543991,-0.14129967929524812,0.9723160662292735,0.7471230189896891,0.7713421756735003,0.5373315705220437
13,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9308019152692686,0.49958185719570847,0.9710150474886019,0.7810783456016229,0.747343068641036,0.46777514012064564
14,Reaction_OCH2F,Reaction_CH2CF3,Reaction_CF3,0.8909136700206554,0.47565106176199035,0.9511931401633393,0.7078921099555949,0.6892556229607352,0.48435774466296067
15,Reaction_CH2CF3,Reaction_Cy,Reaction_OCH2F,0.8801946268417681,0.4591150871572274,0.9493815648733444,0.6970046508359585,0.7002201474989329,0.5468251481416304
16,Reaction_CH2CF3,Reaction_Cy,Reaction_OCH2F,0.8976631438591364,-0.010071472096854217,0.9525312409208744,0.5868357629501444,0.7064788500198872,0.3984543640340583
17,Reaction_CH2CF3,Reaction_Cy,Reaction_OCH2F,0.8993302190525073,-0.1918995423949681,0.9542461477707249,0.5228518775418197,0.7579227334384614,0.44466674790682736
18,Reaction_CH2CF3,Reaction_Cy,Reaction_CF3,0.8934182414434336,0.5701927848831116,0.955424330805018,0.78757847329259,0.7267108592392569,0.6165239268694178
19,Reaction_CH2CF3,Reaction_OCH2F,Reaction_Cy,0.9442922109573016,-0.12843633682830924,0.97713373741165,0.4626455198973533,0.7826407343791858,0.4505947865392489
20,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9175745200810316,0.5086369573551215,0.9678456656361738,0.8614895899112236,0.8599300014854455,0.5177031249133587
21,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9336516020652814,0.01870553290437671,0.9762719275105112,0.8003128391698202,0.8554743756406189,0.5559974451849962
22,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9339606135001716,0.5753444756147352,0.9750596462360318,0.8087824701561939,0.7828980835973331,0.5117275563411379
23,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9186442352867479,0.5311837653109561,0.9671061831994697,0.8669398944047572,0.7727094139837749,0.5647720356929739
24,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9309532012596368,0.43103323021810624,0.9735246264591769,0.6952777891553786,0.7660809621982928,0.41512070694780717
25,Reaction_CF3,Reaction_CH2CF3,Reaction_Cy,0.8667296555639666,0.6200389873028873,0.9422474319356459,0.8386543060741987,0.7056855532500526,0.6541347874547406
26,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.8791327242499696,0.5860112562268488,0.9518594469102274,0.8260808610166896,0.750356986759285,0.5792871248240182
27,Reaction_CH2CF3,Reaction_Cy,Reaction_OCH2F,0.8694396423248882,0.13103501477356316,0.9473827648278871,0.5310468132923335,0.6871856788973623,0.4306401517485859
28,Reaction_CF3,Reaction_CH2CF3,Reaction_Cy,0.9167817033829593,0.5450389934855195,0.9684448190681818,0.782540495343611,0.7261354744623949,0.47232126888449827
29,Reaction_CH2CF3,Reaction_CF3,Reaction_Cy,0.9281882213737133,0.5684479710512611,0.969590791885722,0.774435454270576,0.7710579232757896,0.4833012957194667
30,Reaction_CH2CF3,Reaction_OCH2F,Reaction_Cy,0.9246581323088281,-0.10904709832005333,0.9669725290951652,0.5413252114935793,0.7222964419543677,0.42302090356111904
