Run,Round
0,11
1,1
2,8
3,7
4,9
5,12
6,12
7,11
8,9
9,11
10,10
11,8
12,7
13,11
14,12
15,10
16,7
17,12
18,8
19,11
20,10
21,10
22,10
23,11
24,11
25,12
26,12
27,12
28,12
29,11
30,13
31,11
32,11
33,11
34,9
35,12
36,10
37,11
38,12
39,9
40,11
41,13
42,10
43,12
44,9
45,12
46,11
47,12
48,12
49,9
50,12
51,9
52,12
53,12
54,11
55,12
56,11
57,11
58,12
59,10
