Run,Round
0,6
1,1
2,6
3,6
4,6
5,3
6,5
7,7
8,6
9,2
10,3
11,5
12,4
13,6
14,6
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,5
26,3
27,3
28,3
29,6
30,3
31,6
32,6
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,4
43,3
44,6
45,3
46,3
47,3
48,3
49,5
50,3
51,6
52,3
53,5
54,3
55,3
56,3
57,6
58,3
59,5
