selected_indices_per_step,actual_rewards_per_step
"[10, 56, 49, 12, 14, 3, 16, 17, 8, 11, 30, 58, 57, 15, 9, 38, 50, 24, 59, 51, 45, 46, 31, 42, 7, 25, 55, 34, 18, 53, 36, 5, 32, 21, 29, 54, 40, 4, 6, 10, 52, 23, 0, 13, 2, 33, 43, 22, 19, 27, 20, 35, 48, 28, 26, 44, 37, 39, 41, 1, 47]","[66, 5, 54, 34, 40, 35, 60, 33, 57, 58, 29, 0, 0, 42, 70, 21, 24, 34, 0, 21, 1, 0, 40, 43, 54, 37, 2, 9, 38, 40, 18, 41, 37, 35, 22, 19, 22, 24, 63, 66, 22, 30, 41, 33, 40, 9, 28, 32, 34, 30, 30, 18, 0, 25, 27, 34, 14, 24, 12, 62, 3]"
"[11, 56, 9, 47, 16, 42, 55, 12, 8, 38, 59, 33, 18, 26, 14, 15, 24, 57, 58, 45, 2, 50, 41, 10, 5, 21, 31, 6, 11, 49, 46, 51, 7, 25, 32, 3, 17, 36, 54, 30, 4, 52, 23, 0, 13, 22, 19, 27, 43, 35, 20, 28, 34, 44, 29, 37, 1, 39, 40, 53, 48]","[58, 5, 70, 3, 60, 43, 2, 34, 57, 21, 0, 9, 38, 27, 40, 42, 34, 0, 0, 1, 40, 24, 12, 66, 41, 35, 40, 63, 58, 54, 0, 21, 54, 37, 37, 35, 33, 18, 19, 29, 24, 22, 30, 41, 33, 32, 34, 30, 28, 18, 30, 25, 9, 34, 22, 14, 62, 24, 22, 40, 0]"
"[12, 23, 46, 18, 17, 59, 30, 54, 22, 5, 25, 55, 56, 51, 24, 58, 45, 57, 35, 3, 28, 31, 32, 36, 29, 14, 16, 9, 50, 38, 6, 11, 49, 15, 42, 53, 39, 10, 0, 7, 8, 4, 52, 43, 13, 2, 33, 34, 12, 19, 21, 20, 48, 41, 27, 26, 44, 37, 1, 40, 47]","[34, 30, 0, 38, 33, 0, 29, 19, 32, 41, 37, 2, 5, 21, 34, 0, 1, 0, 18, 35, 25, 40, 37, 18, 22, 40, 60, 70, 24, 21, 63, 58, 54, 42, 43, 40, 24, 66, 41, 54, 57, 24, 22, 28, 33, 40, 9, 9, 34, 34, 35, 30, 0, 12, 30, 27, 34, 14, 62, 22, 3]"
"[13, 57, 25, 5, 48, 18, 58, 24, 32, 17, 56, 23, 3, 30, 4, 31, 49, 38, 59, 45, 55, 12, 29, 0, 1, 2, 13, 10, 11, 6, 51, 14, 9, 16, 50, 46, 52, 15, 42, 40, 21, 54, 53, 36, 7, 33, 8, 22, 27, 20, 19, 37, 43, 44, 28, 26, 41, 39, 34, 35, 47]","[33, 0, 37, 41, 0, 38, 0, 34, 37, 33, 5, 30, 35, 29, 24, 40, 54, 21, 0, 1, 2, 34, 22, 41, 62, 40, 33, 66, 58, 63, 21, 40, 70, 60, 24, 0, 22, 42, 43, 22, 35, 19, 40, 18, 54, 9, 57, 32, 30, 30, 34, 14, 28, 34, 25, 27, 12, 24, 9, 18, 3]"
"[14, 57, 0, 25, 48, 31, 3, 17, 5, 32, 1, 4, 49, 2, 59, 56, 13, 15, 55, 12, 38, 10, 11, 9, 50, 29, 23, 6, 14, 16, 46, 58, 30, 51, 43, 21, 18, 45, 40, 54, 42, 53, 36, 24, 7, 33, 8, 22, 27, 20, 19, 37, 28, 44, 26, 41, 39, 52, 34, 35, 47]","[40, 0, 41, 37, 0, 40, 35, 33, 41, 37, 62, 24, 54, 40, 0, 5, 33, 42, 2, 34, 21, 66, 58, 70, 24, 22, 30, 63, 40, 60, 0, 0, 29, 21, 28, 35, 38, 1, 22, 19, 43, 40, 18, 34, 54, 9, 57, 32, 30, 30, 34, 14, 25, 34, 27, 12, 24, 22, 9, 18, 3]"
"[15, 23, 50, 12, 37, 59, 30, 57, 4, 18, 17, 34, 11, 31, 10, 49, 13, 58, 3, 56, 55, 9, 16, 53, 45, 51, 6, 26, 46, 0, 52, 21, 54, 8, 5, 25, 15, 32, 2, 39, 24, 22, 33, 42, 14, 27, 47, 7, 43, 35, 19, 38, 41, 20, 28, 44, 29, 1, 36, 40, 48]","[42, 30, 24, 34, 14, 0, 29, 0, 24, 38, 33, 9, 58, 40, 66, 54, 33, 0, 35, 5, 2, 70, 60, 40, 1, 21, 63, 27, 0, 41, 22, 35, 19, 57, 41, 37, 42, 37, 40, 24, 34, 32, 9, 43, 40, 30, 3, 54, 28, 18, 34, 21, 12, 30, 25, 34, 22, 62, 18, 22, 0]"
"[16, 23, 15, 45, 9, 8, 31, 47, 14, 10, 59, 38, 51, 11, 5, 55, 3, 2, 17, 56, 58, 50, 30, 53, 49, 46, 57, 26, 7, 42, 25, 36, 32, 18, 21, 54, 40, 4, 6, 52, 12, 24, 16, 13, 0, 33, 27, 22, 34, 43, 19, 35, 37, 28, 20, 44, 29, 39, 1, 41, 48]","[60, 30, 42, 1, 70, 57, 40, 3, 40, 66, 0, 21, 21, 58, 41, 2, 35, 40, 33, 5, 0, 24, 29, 40, 54, 0, 0, 27, 54, 43, 37, 18, 37, 38, 35, 19, 22, 24, 63, 22, 34, 34, 60, 33, 41, 9, 30, 32, 9, 28, 34, 18, 14, 25, 30, 34, 22, 24, 62, 12, 0]"
"[17, 59, 21, 51, 32, 4, 23, 31, 55, 25, 56, 5, 13, 58, 18, 3, 34, 17, 45, 24, 49, 38, 12, 57, 0, 22, 1, 2, 46, 14, 29, 11, 15, 50, 6, 53, 28, 33, 10, 9, 48, 7, 16, 8, 30, 52, 54, 19, 20, 35, 37, 27, 42, 43, 44, 41, 36, 26, 39, 40, 47]","[33, 0, 35, 21, 37, 24, 30, 40, 2, 37, 5, 41, 33, 0, 38, 35, 9, 33, 1, 34, 54, 21, 34, 0, 41, 32, 62, 40, 0, 40, 22, 58, 42, 24, 63, 40, 25, 9, 66, 70, 0, 54, 60, 57, 29, 22, 19, 34, 30, 18, 14, 30, 43, 28, 34, 12, 18, 27, 24, 22, 3]"
"[18, 59, 19, 32, 49, 36, 12, 25, 29, 6, 8, 11, 53, 14, 4, 16, 37, 9, 46, 15, 45, 58, 57, 55, 56, 30, 51, 54, 31, 10, 24, 5, 17, 0, 23, 52, 2, 18, 13, 34, 7, 33, 39, 42, 22, 38, 43, 21, 35, 20, 27, 28, 48, 26, 44, 40, 3, 50, 41, 1, 47]","[38, 0, 34, 37, 54, 18, 34, 37, 22, 63, 57, 58, 40, 40, 24, 60, 14, 70, 0, 42, 1, 0, 0, 2, 5, 29, 21, 19, 40, 66, 34, 41, 33, 41, 30, 22, 40, 38, 33, 9, 54, 9, 24, 43, 32, 21, 28, 35, 18, 30, 30, 25, 0, 27, 34, 22, 35, 24, 12, 62, 3]"
"[19, 59, 17, 32, 7, 35, 3, 25, 51, 4, 14, 10, 49, 48, 11, 30, 57, 56, 15, 9, 16, 38, 50, 6, 58, 55, 26, 45, 46, 8, 24, 54, 5, 42, 0, 39, 31, 12, 53, 18, 52, 33, 13, 43, 23, 22, 2, 27, 19, 21, 41, 28, 34, 20, 44, 29, 37, 36, 1, 40, 47]","[34, 0, 33, 37, 54, 18, 35, 37, 21, 24, 40, 66, 54, 0, 58, 29, 0, 5, 42, 70, 60, 21, 24, 63, 0, 2, 27, 1, 0, 57, 34, 19, 41, 43, 41, 24, 40, 34, 40, 38, 22, 9, 33, 28, 30, 32, 40, 30, 34, 35, 12, 25, 9, 30, 34, 22, 14, 18, 62, 22, 3]"
