model,reaction,train_size,Avg_R2,Max_R2,Std_R2,Avg_PearsonR,Max_PearsonR,Std_PearsonR,Avg_kendalltau,Max_kendalltau,Std_kendalltau
RF,Reaction_CO_1.5h,15,0.3335359476270603,0.6726989976237816,0.197760563024107,0.6458157095279029,0.8352375549609907,0.09809766701323507,0.4300187934470036,0.5934439785147815,0.06843242462695122
RF,Reaction_CO_1.5h,20,0.3880316397007698,0.6780971152746206,0.17674457322440165,0.6750671934782823,0.8328700054834194,0.0955256729251953,0.45724354245162047,0.5917345991454426,0.07870471502434637
RF,Reaction_CO_1.5h,30,0.4481088133663129,0.7639169483169715,0.17787372363253026,0.7106780517377337,0.888178687126231,0.10320991251309014,0.48497680434501433,0.656607069970906,0.08595801011319393
RF,Reaction_CO_biphenyl,15,0.33914314257644634,0.6353182917496896,0.17271370578701162,0.6425368859469899,0.797340286384639,0.08580792614887602,0.43019012757115005,0.591169202495913,0.07540684689470042
RF,Reaction_CO_biphenyl,20,0.3816718724427551,0.6195992103950193,0.16963851596978669,0.6669517070579635,0.8329096777886112,0.09378406465347984,0.44940893676344273,0.6340290417851715,0.09094483336938741
RF,Reaction_CO_biphenyl,30,0.4544110838944416,0.7090444939007046,0.1499856309655997,0.7058618310229896,0.862089897188432,0.09031229041432708,0.4779813344116343,0.6813005702116292,0.08760580300881583
RF,Reaction_CO_ortho,15,0.20061061755468246,0.4654090799830723,0.1599411864799563,0.5338165855988457,0.7186020803011965,0.09985081507138065,0.3581867029231075,0.4915872755561459,0.07576488790570696
RF,Reaction_CO_ortho,20,0.2462330839575171,0.5370268680079815,0.15281601455305988,0.5615250826430301,0.7413769060806676,0.09507126885192646,0.37649394625918975,0.5442984687223746,0.07396665061399538
RF,Reaction_CO_ortho,30,0.30480589907588695,0.5918215067815766,0.15932737115026258,0.6051733843000653,0.8093482688978496,0.10087967587540274,0.40817058889148855,0.6210996480932404,0.08180550252541469
RF,Reaction_CO_Cl,15,0.0724522579338796,0.4255987072034173,0.22857722057220317,0.46135521545538355,0.6798008075143485,0.12425775880709393,0.3592968776545525,0.5646062033932994,0.09576154158870841
