model,reaction,train_size,Avg_R2,Max_R2,Std_R2,Avg_PearsonR,Max_PearsonR,Std_PearsonR,Avg_kendalltau,Max_kendalltau,Std_kendalltau
TrAB,Reaction_CO_1.5h,15,0.6474691733273,0.8176087326217774,0.14778121244822018,0.8356971206858202,0.9144284024498188,0.07275370723160399,0.61491370395307,0.7610806560966276,0.06312460529731706
TrAB,Reaction_CO_1.5h,20,0.6949388464741755,0.8817676257221351,0.06736032613438797,0.8549176653845814,0.9582303725623172,0.03779215039488268,0.624182861360229,0.7711424214460907,0.056905968814830565
TrAB,Reaction_CO_1.5h,30,0.6949163228213477,0.8855014481486924,0.08532185549611714,0.8505533066279173,0.9597943060199676,0.050467206249688853,0.6191172728286826,0.7504787743864564,0.05837664034475104
TrAB,Reaction_CO_biphenyl,15,0.7539200018731594,0.8512410190590958,0.10753752009661866,0.9089273051928971,0.9440144532813992,0.033423190337005235,0.7220609282716908,0.8038570613469316,0.0507333261811198
TrAB,Reaction_CO_biphenyl,20,0.7884338008369633,0.8631912601480398,0.049943204351626386,0.9153386317663085,0.9549669686248567,0.022307557801429373,0.7277034679690574,0.8136768878900821,0.0470925347929381
TrAB,Reaction_CO_biphenyl,30,0.7960109860415231,0.8880838801706954,0.04845271499240174,0.9123647055424001,0.9636911769447036,0.024789631035583515,0.7219270094494827,0.858136625155313,0.058422352773603366
TrAB,Reaction_CO_ortho,15,0.5403726623341764,0.8852345394627065,0.17646723335576436,0.8604085506761152,0.9440222234266468,0.03239860078146685,0.6694255654968084,0.7813016003823745,0.04023442883387364
TrAB,Reaction_CO_ortho,20,0.6188799409290934,0.8918623834588985,0.13747726622325535,0.8683582940354655,0.9482299984770975,0.03097879353318942,0.6766879903473153,0.7881373760355954,0.0383506075211128
TrAB,Reaction_CO_ortho,30,0.6678129690235849,0.9118201571953788,0.13850025213873346,0.8678868816606335,0.9566133870384352,0.040963892005707235,0.6778225426027481,0.784741144642312,0.05195423711046345
TrAB,Reaction_CO_Cl,15,0.5546579038844783,0.7967082384802575,0.1535040322792549,0.8334896107591594,0.9023266789763028,0.03255667410616093,0.7068054166735077,0.783097573241701,0.047198448101857034
