Run,Round
0,3
1,1
2,8
3,6
4,16
5,39
6,25
7,27
8,10
9,39
10,48
11,8
12,12
13,20
14,30
15,32
16,40
17,26
18,32
19,31
20,41
21,29
22,50
23,41
24,37
25,41
26,23
27,16
28,39
29,11
30,6
31,10
32,28
33,34
34,20
35,16
36,21
37,47
38,17
39,11
40,22
41,40
42,21
43,13
44,17
45,4
46,32
47,50
48,33
49,12
50,46
51,12
52,26
53,48
54,44
55,3
56,12
57,13
58,4
59,14
