Run,Round
0,3
1,1
2,8
3,16
4,16
5,3
6,9
7,7
8,19
9,9
10,4
11,11
12,6
13,13
14,12
15,10
16,11
17,17
18,13
19,25
20,15
21,13
22,19
23,5
24,18
25,5
26,12
27,25
28,13
29,6
30,13
31,9
32,9
33,28
34,12
35,24
36,17
37,8
38,11
39,5
40,27
41,11
42,14
43,4
44,24
45,6
46,22
47,9
48,18
49,9
50,8
51,12
52,14
53,18
54,22
55,3
56,18
57,11
58,20
59,5
