Run,Round
0,7
1,17
2,5
3,8
4,7
5,2
6,9
7,11
8,16
9,6
10,6
11,6
12,12
13,9
14,20
15,12
16,6
17,17
18,25
19,10
20,13
21,12
22,11
23,21
24,5
25,10
26,6
27,8
28,1
29,6
30,8
31,13
32,14
33,7
34,16
35,11
36,10
37,12
38,4
39,3
40,1
41,3
42,2
43,7
44,6
45,18
46,17
47,11
48,12
49,6
50,12
51,7
52,23
53,8
54,16
55,13
56,17
57,13
58,11
59,14
