Run,Round
0,43
1,1
2,51
3,46
4,44
5,51
6,51
7,46
8,43
9,46
10,51
11,46
12,46
13,44
14,43
15,44
16,46
17,46
18,46
19,51
20,46
21,46
22,46
23,43
24,53
25,46
26,46
27,52
28,46
29,46
30,47
31,43
32,46
33,51
34,45
35,44
36,46
37,51
38,51
39,45
40,50
41,48
42,52
43,44
44,44
45,46
46,53
47,45
48,47
49,47
50,51
51,51
52,44
53,50
54,44
55,51
56,44
57,51
58,50
59,41
