Run,Round
0,25
1,1
2,26
3,26
4,25
5,25
6,23
7,26
8,24
9,26
10,26
11,25
12,25
13,22
14,25
15,24
16,26
17,22
18,19
19,29
20,22
21,26
22,26
23,25
24,26
25,26
26,25
27,28
28,22
29,22
30,23
31,24
32,24
33,26
34,21
35,24
36,23
37,30
38,24
39,24
40,26
41,25
42,28
43,29
44,28
45,22
46,26
47,26
48,26
49,25
50,25
51,24
52,24
53,23
54,28
55,25
56,28
57,26
58,26
59,25
