Run,Round
0,41
1,1
2,42
3,40
4,41
5,40
6,43
7,38
8,41
9,41
10,34
11,1
12,41
13,40
14,43
15,38
16,40
17,40
18,2
19,36
20,40
21,34
22,40
23,40
24,44
25,37
26,41
27,40
28,37
29,32
30,41
31,41
32,40
33,39
34,40
35,41
36,40
37,38
38,42
39,40
40,37
41,40
42,40
43,42
44,40
45,40
46,44
47,40
48,35
49,41
50,45
51,40
52,41
53,41
54,40
55,40
56,40
57,42
58,38
59,40
